vendor_id	product_id	unit_price
540	845	263
579	478	57
206	649	574
95	53	316
285	138	243
792	3	685
861	454	516
362	804	212
528	983	932
695	114	808
97	995	533
830	680	934
213	845	112
769	997	758
331	384	139
171	484	233
592	292	709
102	166	554
496	573	904
456	592	307
408	823	740
253	473	899
473	55	721
948	534	277
769	139	587
816	309	145
534	824	527
580	943	501
288	625	266
975	623	778
234	241	150
9	282	662
713	53	486
15	298	440
972	366	765
225	692	549
592	883	909
395	841	454
458	750	944
381	695	566
5	598	757
120	973	659
556	149	948
513	785	389
200	981	134
344	791	220
996	228	508
960	306	501
22	334	712
489	465	159
895	149	434
888	951	540
88	525	539
345	269	98
806	908	697
307	992	696
444	678	483
135	625	861
620	982	453
28	940	105
666	981	455
442	955	333
829	643	275
763	98	477
744	180	381
194	28	560
445	8	889
128	453	465
114	43	367
164	441	414
144	551	282
969	909	423
732	111	373
531	156	368
364	590	732
955	220	336
365	96	853
723	704	837
734	439	330
356	223	990
299	697	341
451	219	583
958	869	926
411	394	503
694	684	308
619	583	137
757	113	35
619	228	381
826	552	190
565	836	979
767	981	108
187	522	634
830	92	542
248	52	204
533	825	624
957	506	812
769	760	284
412	440	396
655	556	875
105	528	648
237	214	895
156	616	128
457	875	446
293	370	284
503	730	439
89	221	640
997	391	98
621	945	515
450	185	276
744	394	478
33	331	453
970	1000	830
673	919	747
404	573	489
522	580	154
820	496	116
105	65	382
487	994	287
472	379	731
87	596	2
38	932	423
655	196	760
545	864	538
840	914	655
598	781	697
221	619	204
619	265	244
686	412	910
717	162	956
661	366	108
115	325	521
664	447	679
978	987	832
927	310	9
219	737	622
657	327	137
245	304	960
917	765	751
653	57	341
664	218	649
492	132	993
386	815	825
832	330	866
26	193	217
529	243	610
201	961	39
257	405	415
393	473	380
672	502	468
356	325	810
497	520	648
331	737	935
493	255	756
336	605	106
500	272	569
68	652	903
709	21	735
73	897	36
252	369	698
248	535	724
580	80	456
801	808	148
846	476	772
724	229	64
967	640	76
348	934	628
66	603	874
49	327	876
804	992	138
126	390	271
730	673	525
618	47	328
253	622	414
704	544	435
704	193	587
735	740	570
560	954	265
174	110	808
324	241	974
658	989	860
147	212	121
21	215	486
39	852	460
624	451	70
303	371	10
667	39	664
130	918	506
538	984	586
835	24	311
995	654	943
910	944	317
878	567	46
638	690	1000
561	324	845
325	617	315
100	875	206
661	436	775
703	724	172
168	249	241
628	496	850
759	608	802
209	860	818
707	530	209
450	182	869
992	495	522
513	579	196
672	760	309
492	24	50
306	149	628
781	373	104
583	288	475
588	45	231
927	834	125
990	507	164
583	256	326
266	841	630
880	158	75
129	46	706
69	521	493
595	231	746
598	609	938
222	734	867
640	149	874
342	970	648
84	157	889
851	398	428
990	825	843
554	861	772
476	918	344
424	674	388
817	59	547
568	464	274
238	315	807
818	749	419
736	822	69
591	267	890
713	334	867
222	614	965
850	355	842
691	917	558
997	35	800
449	818	753
929	67	94
349	938	619
161	156	844
766	185	515
493	494	192
912	315	147
914	977	696
857	677	457
99	85	852
507	869	815
372	727	510
180	566	58
24	466	911
323	783	827
712	365	953
644	451	246
1000	779	66
930	70	794
897	679	614
13	479	765
113	698	242
951	33	796
721	717	732
653	944	878
386	717	505
398	912	562
606	830	804
767	374	413
256	25	870
273	882	569
241	644	733
812	12	907
748	354	43
300	374	41
878	116	575
826	646	200
454	274	703
449	334	692
966	492	946
265	311	13
512	396	434
968	104	455
95	551	815
467	683	180
15	310	559
170	260	16
206	507	484
51	355	747
857	926	99
721	235	783
144	139	546
165	732	264
630	572	892
384	325	585
511	247	955
214	963	977
132	386	796
922	57	943
215	502	27
426	430	502
617	544	573
900	132	291
854	482	463
700	701	929
404	854	87
657	855	540
492	694	973
445	448	89
217	388	270
441	333	343
250	347	748
598	545	808
159	1	906
302	79	464
549	435	903
591	602	865
56	190	915
265	813	679
696	459	227
256	825	719
537	371	211
584	1000	168
634	482	246
232	68	733
317	735	841
951	79	868
462	409	497
717	264	249
405	427	363
222	548	104
368	697	789
758	402	797
761	92	683
455	12	368
27	947	117
870	182	540
734	5	472
956	325	452
592	999	74
334	944	308
884	200	767
809	437	974
824	178	718
985	687	973
376	19	169
527	632	444
111	553	981
606	953	803
752	387	609
471	566	713
417	327	995
869	127	210
6	438	407
12	854	253
891	56	52
262	901	317
226	973	831
150	203	508
570	472	939
288	90	539
214	787	773
197	67	761
58	956	924
713	856	718
697	981	344
524	786	6
860	278	813
326	666	225
135	871	172
523	262	291
318	205	155
238	249	926
918	902	234
349	983	599
603	413	342
904	445	76
713	137	40
853	390	553
358	23	172
273	954	856
612	200	845
747	841	558
881	980	813
77	890	574
86	4	114
496	298	646
185	979	785
930	189	944
825	308	217
519	975	440
492	73	177
511	100	122
583	672	545
549	83	452
786	87	377
244	681	35
156	872	736
524	864	574
387	611	571
935	55	883
874	153	447
895	457	479
91	342	609
669	95	643
354	459	214
398	77	236
259	779	313
983	875	846
773	918	815
622	369	269
988	285	933
158	210	855
483	810	730
831	643	837
194	747	911
823	520	124
93	776	205
734	254	680
876	339	422
192	679	100
646	664	380
15	384	774
415	790	69
927	327	806
21	633	35
126	526	575
937	506	274
979	370	914
179	322	911
321	572	484
564	271	175
809	692	857
158	658	708
7	515	771
728	483	724
147	159	720
84	346	548
398	978	446
687	981	170
174	657	188
20	887	894
