store_id	store_name	addr_line1	addr_city	addr_state	addr_zipcode
99	Serpentine Tarweed	599 Prairie Rose Parkway	San Bernardino	California	92415
100	Sporastatia Lichen	294 Arapahoe Court	Miami	Florida	33245
101	Piipiilau Manamana	705 Arapahoe Crossing	Omaha	Nebraska	68134
102	Taylor's Jujube	82851 Arrowood Junction	New Orleans	Louisiana	70187
103	Klamath Arnica	40 Algoma Way	New York City	New York	10270
104	Umbrella-tree	012 Browning Point	Atlanta	Georgia	30343
105	Dicranocarpus	128 Reindahl Point	York	Pennsylvania	17405
106	Coastal Sand Sedge	7633 Del Mar Parkway	Burbank	California	91520
107	Bracted Alumroot	5078 Manley Place	Lake Charles	Louisiana	70607
108	Small Povertyweed	7 Tomscot Crossing	Philadelphia	Pennsylvania	19136
109	Lambsquarters	2667 Hoepker Parkway	Tucson	Arizona	85754
110	Praxelis	21 Esch Center	Tallahassee	Florida	32309
111	Gongylia Lichen	887 Rusk Point	Yonkers	New York	10705
112	Mountain Fly Honeysuckle	00850 Prentice Place	Memphis	Tennessee	38197
113	Variegated Phlox	26034 Green Trail	Phoenix	Arizona	85005
114	Myelochroa Lichen	2711 Express Avenue	Norfolk	Virginia	23551
115	Spanish Cherry	6 Green Lane	Arlington	Virginia	22212
116	Dane's Dwarf Gentian	16 Kings Avenue	Charlotte	North Carolina	28210
117	Torrey's Saltbush	79 Miller Court	New York City	New York	10045
118	Codlins And Cream	99 Judy Plaza	Nashville	Tennessee	37210
119	Spiked Speedwell	6333 Old Shore Place	Dallas	Texas	75226
120	Florida Leaf-flower	512 Novick Center	Washington	District of Columbia	20231
121	Phaeographis	4 Hallows Hill	Tucson	Arizona	85720
122	Bay County Indian Plantain	3548 Westend Avenue	Arlington	Virginia	22212
123	Disc Lichen	2221 Eastlawn Parkway	Salinas	California	93907
124	Dropwort	450 Havey Parkway	Houston	Texas	77030
125	Orange Lichen	8716 Nova Street	Atlanta	Georgia	30301
126	Jeweled Maiden Fern	02 Dixon Drive	Denver	Colorado	80270
127	Solomon's Lily	82059 Sherman Drive	Fort Myers	Florida	33906
128	Leather Flower	049 Farwell Court	Washington	District of Columbia	20238
129	Purple Speargrass	064 Maryland Avenue	Akron	Ohio	44305
130	Gasplant	394 Maryland Pass	El Paso	Texas	79934
131	Sheep Fescue	16 Farragut Street	Anniston	Alabama	36205
132	Rusby's Globemallow	4 Clyde Gallagher Avenue	Portland	Oregon	97240
133	Texas Crinklemat	6527 8th Lane	Murfreesboro	Tennessee	37131
134	Trans-pecos Dodder	3 Oak Valley Hill	Aurora	Illinois	60505
135	Brandegee's Desertparsley	0855 Valley Edge Hill	Jacksonville	Florida	32209
136	Cisco Milkvetch	134 Harbort Place	Pensacola	Florida	32520
137	Yellowflower Locoweed	007 Arizona Point	Cambridge	Massachusetts	02142
138	Grecian Foxglove	2 Farragut Alley	Anchorage	Alaska	99522
139	Woodland Poppymallow	48 Schmedeman Plaza	Arlington	Texas	76016
140	Tanoak	36371 Hoard Crossing	Reno	Nevada	89595
141	Greenman's Biscuitroot	80 Northland Plaza	Boca Raton	Florida	33499
142	Hybrid Willow	3771 Kensington Way	Los Angeles	California	90055
143	Tropical Waterclover	6743 Comanche Court	Reno	Nevada	89510
144	Primavera	7 Porter Avenue	Philadelphia	Pennsylvania	19191
145	Puahekili	59 Toban Park	Columbia	South Carolina	29208
146	Maui Buttercup	86 Acker Point	Detroit	Michigan	48217
147	Coastal Plain Yellowtops	7779 Garrison Crossing	Burbank	California	91520
148	Giant Swordfern	821 Northridge Parkway	Los Angeles	California	90020
149	Rinodina Lichen	219 Colorado Court	Saint Petersburg	Florida	33710
150	Rutter's False Goldenaster	95 Delladonna Circle	Beaumont	Texas	77705
151	Tibey-amarillo	0 Iowa Center	Salt Lake City	Utah	84120
152	Arctic Alpine Forget-me-not	3588 Birchwood Plaza	Knoxville	Tennessee	37914
153	Hairy-pod Milkvetch	461 Meadow Ridge Park	Charleston	West Virginia	25356
154	Entireleaf Western Daisy	25 Quincy Avenue	Atlanta	Georgia	30380
155	Tuckerman's Pondweed	5093 5th Lane	Savannah	Georgia	31416
156	Alpine Golden Buckwheat	152 Surrey Road	Oklahoma City	Oklahoma	73157
157	Lucretia Dewberry	6310 Victoria Circle	Ann Arbor	Michigan	48107
158	Runyon's Wild Petunia	1858 Summerview Alley	Oklahoma City	Oklahoma	73147
159	Groundplum Milkvetch	74 Granby Circle	Portland	Maine	04109
160	Mexican Lovegrass	0 Dapin Junction	Frankfort	Kentucky	40618
161	Giant Four O'clock	15 Elka Place	Philadelphia	Pennsylvania	19160
162	Jelly Lichen	2813 Fairview Lane	Helena	Montana	59623
163	Selby's Rockcress	30 Emmet Parkway	Indianapolis	Indiana	46231
164	Sundial Lupine	6 Manufacturers Terrace	Indianapolis	Indiana	46247
165	Villadia	07 Luster Hill	Long Beach	California	90831
166	Eggyolk Lichen	605 Cherokee Center	Fort Worth	Texas	76162
167	Wild Coffee	2340 Memorial Parkway	El Paso	Texas	79923
168	Truckee Rabbitbrush	68352 Hagan Place	Jackson	Mississippi	39296
169	Tall Thimbleweed	04 Ridge Oak Alley	Lexington	Kentucky	40505
170	Lurid Fishscale Lichen	0 Straubel Way	Garland	Texas	75044
171	Dust Lichen	7465 Sundown Circle	Pittsburgh	Pennsylvania	15235
172	Dwarf White Milkvetch	04 Rigney Court	Macon	Georgia	31296
173	Cyme Rose	942 Buell Road	Wilmington	Delaware	19886
174	American Beachgrass	105 Waubesa Parkway	Miami	Florida	33129
175	Eastern False Dragonhead	390 Marcy Center	Durham	North Carolina	27705
176	Fragrant Plantain Lily	978 Hoffman Crossing	Detroit	Michigan	48211
177	False Seaonion	92 Sachs Pass	Los Angeles	California	90087
178	Woolly Blackberry	30062 Lakewood Gardens Alley	Memphis	Tennessee	38136
179	Euryale	2896 Orin Place	Torrance	California	90510
180	Caribbean Applecactus	073 Texas Avenue	Murfreesboro	Tennessee	37131
181	Naranjilla	173 Messerschmidt Court	Winston Salem	North Carolina	27105
182	Brownplume Wirelettuce	944 Almo Drive	Florence	South Carolina	29505
183	Smallhead Doll's Daisy	41 Melody Street	Los Angeles	California	90035
184	Carline Thistle	88 Upham Alley	West Palm Beach	Florida	33416
185	Florida Sunflower	403 Sachs Point	Pittsburgh	Pennsylvania	15255
186	Oregon Checkerbloom	64 Bluejay Parkway	Lynchburg	Virginia	24503
187	Dactylospora Lichen	82260 Northport Crossing	Cincinnati	Ohio	45249
188	Sierra Bluecup	7760 Emmet Crossing	Roanoke	Virginia	24029
189	Gray's Cyrtandra	86354 Johnson Hill	Winston Salem	North Carolina	27150
190	Texas Red Oak	0 Superior Place	El Paso	Texas	88563
191	San Francisco Campion	35056 Havey Street	Oakland	California	94622
192	Pincushion	70823 Hermina Terrace	Cleveland	Ohio	44177
193	Nail Lichen	06579 Mesta Point	Monticello	Minnesota	55590
194	California Barrel Cactus	5300 Vermont Parkway	Youngstown	Ohio	44555
195	Sweet White Violet	96 Anderson Plaza	Richmond	Virginia	23237
196	Low Phacelia	35 Gerald Pass	Roanoke	Virginia	24020
197	Heterocyphelium Lichen	66 Harper Hill	Baton Rouge	Louisiana	70810
198	Myrobalan	87427 Sullivan Point	Springfield	Illinois	62718
199	Beard Lichen	79957 Mifflin Way	Palm Bay	Florida	32909
200	Laurel-leaf Soldierbush	876 Becker Place	Harrisburg	Pennsylvania	17121
201	Cubeb	384 Merry Trail	Long Beach	California	90805
202	Carolina Hemlock	094 Marquette Junction	Reston	Virginia	20195
203	Agathosma	71444 Bellgrove Plaza	Madison	Wisconsin	53716
204	Streambank Mock Orange	4705 Lakewood Gardens Park	Tacoma	Washington	98424
205	Asian Brake	0 Oxford Street	Seattle	Washington	98109
206	Rimmed Lichen	7 Bultman Alley	Colorado Springs	Colorado	80905
207	Queen Thistle	82445 Buell Trail	Waltham	Massachusetts	02453
208	Common Sneezeweed	70653 Arkansas Plaza	Spokane	Washington	99215
209	Christmasbush	7 Dryden Way	Milwaukee	Wisconsin	53210
210	Pine Lily	0748 8th Trail	Panama City	Florida	32412
211	Star Reindeer Lichen	99 Golf Course Parkway	Chicago	Illinois	60604
212	Carolina Springbeauty	50 Calypso Way	Mansfield	Ohio	44905
213	Shy Wallflower	5 Sunnyside Trail	Phoenix	Arizona	85053
214	Fissidens Moss	2517 Burrows Point	Scottsdale	Arizona	85271
215	Cottet Willow	2 Mandrake Terrace	Houston	Texas	77271
216	Pygmy Physcomitrium Moss	7 Prentice Avenue	Indianapolis	Indiana	46278
217	Santa Catalina Figwort	1 Heffernan Road	Chandler	Arizona	85246
218	Allegheny Monkeyflower	0 Pine View Hill	Colorado Springs	Colorado	80995
219	False Dogfennel	25 Ruskin Junction	Washington	District of Columbia	20210
220	Curl-leaf Wild Coffee	9 Rieder Road	Tampa	Florida	33686
221	Dicranoweisia Moss	4 Ohio Plaza	Modesto	California	95397
222	Spring Cinquefoil	04 Sutteridge Parkway	Portland	Oregon	97206
223	Hairy Beardtongue	0 Calypso Pass	New York City	New York	10019
224	Santa Catalina Island Bedstraw	96 Evergreen Place	Milwaukee	Wisconsin	53225
225	Microstachys	0 Nancy Road	Miami	Florida	33142
226	Diamondleaf Lacefern	3828 Dixon Street	Bethesda	Maryland	20892
227	Dwarf Stickpea	09 High Crossing Center	San Diego	California	92127
228	Cup Lichen	367 Victoria Pass	Saint Augustine	Florida	32092
229	Chloracantha	94 Debra Trail	Washington	District of Columbia	20470
230	Anomodon Moss	8 Village Plaza	Tacoma	Washington	98481
231	Gray Goldenrod	04592 Armistice Place	El Paso	Texas	88589
232	African Morningvine	47366 Kinsman Drive	Springfield	Massachusetts	01105
233	Southwestern Pricklypoppy	0461 Jackson Pass	Salt Lake City	Utah	84199
234	Siam Benzoin	01 Ruskin Circle	Atlanta	Georgia	30301
235	Simpleleaf Ticktrefoil	00 Golf Avenue	Richmond	Virginia	23285
236	Parasitic Ghostplant	011 Marquette Pass	Sacramento	California	95823
237	Raintree	22657 Mosinee Crossing	Roanoke	Virginia	24014
238	Macdonald Oak	8 Northport Street	Fresno	California	93762
239	Florida Bully	63 Cascade Alley	Madison	Wisconsin	53726
240	Purple Foxglove	818 Gerald Circle	Miami	Florida	33233
241	Greenland Blueeyed Grass	13 Judy Junction	Hartford	Connecticut	06140
242	Salpichroa	1 Messerschmidt Alley	Tallahassee	Florida	32304
243	Tiny Milkwort	2561 8th Lane	White Plains	New York	10633
244	Mogollon Mountain Lousewort	616 Hovde Park	Pensacola	Florida	32590
245	Ropalospora Lichen	039 Dennis Road	Fort Wayne	Indiana	46857
246	Lanceleaf Blanketflower	4 Monica Lane	Tacoma	Washington	98481
247	Timber Milkvetch	34423 Pankratz Center	Philadelphia	Pennsylvania	19093
248	Charming Woodyaster	80 Florence Pass	West Palm Beach	Florida	33411
249	Bog Mirrorplant	34 Weeping Birch Plaza	Austin	Texas	78726
250	Biatora Lichen	81 Wayridge Hill	Newton	Massachusetts	02458
251	Dwarf Senna	2434 Pleasure Point	Columbia	South Carolina	29220
252	Beauvois' Spotted Felt Lichen	621 Petterle Way	Macon	Georgia	31205
253	Palo De Hueso	019 Hoffman Way	Wilkes Barre	Pennsylvania	18763
254	Blue Mountain Buckwheat	78210 Oriole Plaza	Spartanburg	South Carolina	29305
255	Cliff Desertdandelion	1 Bellgrove Lane	Anderson	South Carolina	29625
256	Coastal Sand Verbena	8325 Fallview Plaza	Fairfax	Virginia	22036
257	Sea Sedge	2294 2nd Park	Paterson	New Jersey	07522
258	Rockloving Erigeron	14994 Clarendon Hill	Fullerton	California	92640
259	Illinois Flatsedge	7 Shasta Way	Huntington Beach	California	92648
260	Rusby's Flatsedge	0 Summer Ridge Hill	Tallahassee	Florida	32399
261	Flatspine Stickseed	09 Dapin Hill	Wilmington	North Carolina	28405
262	Marigold Pincushionplant	0439 Michigan Way	Anaheim	California	92825
263	Soft Greeneyes	575 Sheridan Plaza	Bradenton	Florida	34210
264	Goosefoot Cornsalad	22 Lindbergh Alley	Bakersfield	California	93305
265	Redspot Clarkia	004 Sachtjen Way	Daytona Beach	Florida	32123
266	Aphragmus	6217 Paget Street	Phoenix	Arizona	85045
267	Tricolor Daisy	8 Lerdahl Street	Dallas	Texas	75310
268	Baldwin's Yelloweyed Grass	8 Mifflin Hill	Los Angeles	California	90076
269	Panhandle Spurge	926 Gulseth Court	Lehigh Acres	Florida	33972
270	Oneflower Vetch	06 Autumn Leaf Alley	San Diego	California	92121
271	Kalealaha Beggarticks	649 Straubel Way	Los Angeles	California	90020
272	Beaver Povertyweed	665 Aberg Place	Port Charlotte	Florida	33954
273	Noni Kuahiwi	82 Bultman Pass	Springfield	Illinois	62718
274	Lettuceleaf Saxifrage	6365 Hayes Crossing	Lexington	Kentucky	40576
275	Saskatoon Serviceberry	5 Glendale Parkway	Nashville	Tennessee	37250
276	Moreno Currant	85425 2nd Way	Salt Lake City	Utah	84145
277	Purple False Foxglove	55 Lyons Drive	Pasadena	California	91125
278	Mendez's Sandmat	974 Bashford Place	Chesapeake	Virginia	23324
279	Tripleleaf Morning-glory	12102 Starling Plaza	Waco	Texas	76711
280	Cusick's Popcornflower	621 Susan Pass	Grand Junction	Colorado	81505
281	Sessileleaf Scurvygrass	015 Macpherson Pass	New Haven	Connecticut	06510
282	Palmer's Snowberry	25 Canary Center	El Paso	Texas	79968
283	Oneflower Stitchwort	4 Prairieview Lane	Houston	Texas	77055
284	Oriental Sweetgum	0665 Nevada Road	Panama City	Florida	32405
285	Small Woodland Sunflower	48 Fisk Place	Greenville	South Carolina	29610
286	Hardstem Bulrush	4833 Towne Circle	Springfield	Massachusetts	01105
287	Grand Coulee Owl's-clover	40 Esch Way	Columbia	South Carolina	29240
288	Cascara Annona-leaved Buckthorn	1143 Autumn Leaf Center	Cincinnati	Ohio	45271
289	Star Milkvine	2 Lyons Avenue	Oxnard	California	93034
290	Javan Pyrgillus Lichen	583 Charing Cross Place	Chicago	Illinois	60686
291	Lecidella Lichen	45 Northview Junction	Tampa	Florida	33620
292	Saunders' Widelip Orchid	272 Washington Alley	Sacramento	California	95894
293	Palm Fern	7872 Charing Cross Avenue	Lancaster	California	93584
294	Nipple Beehive Cactus	29488 Westridge Parkway	Seattle	Washington	98148
295	Openwoods Ragwort	02383 Portage Point	Miami	Florida	33233
296	Guadalupe Rabbitbrush	43 Donald Avenue	Fort Worth	Texas	76105
297	Oriental Sphagnum	2494 Bartelt Point	Springfield	Illinois	62723
298	Patch Phacelia	5 Kingsford Circle	Washington	District of Columbia	20067
299	Pine Valley Penstemon	288 Sheridan Avenue	Macon	Georgia	31210
300	Bayrumtree	93 Buell Crossing	Hartford	Connecticut	06183
301	Pygmy Rose	2504 Northwestern Circle	Champaign	Illinois	61825
302	Locoto	81 Monument Court	Louisville	Kentucky	40233
303	Ground Gooseberry	807 Scoville Avenue	Charlotte	North Carolina	28235
304	Eelkek	4113 Red Cloud Pass	Little Rock	Arkansas	72204
305	Greater Creeping Spearwort	595 Logan Alley	Terre Haute	Indiana	47812
306	Largespike Sedge	40 4th Circle	Wichita	Kansas	67205
307	Grants Pass Lupine	3444 Redwing Point	Washington	District of Columbia	20078
308	Pineland Valerian	5328 Canary Crossing	Buffalo	New York	14205
309	Texas Wildrice	71524 Cordelia Crossing	Richmond	Virginia	23289
310	Peepul Tree	3 Amoth Point	Chicago	Illinois	60657
311	Santa Cruz Mountains Beardtongue	3 Clove Junction	Fort Worth	Texas	76192
312	Winged Lythrum	963 Bluejay Circle	Chesapeake	Virginia	23324
313	Buttecandle	53769 Dakota Pass	Worcester	Massachusetts	01610
314	Arctic Heim's Desmatodon Moss	106 Russell Road	Shawnee Mission	Kansas	66215
315	Maui Starviolet	69263 Buell Way	Milwaukee	Wisconsin	53205
316	Day's Bedstraw	5165 Vahlen Alley	Eugene	Oregon	97405
317	Petticoat Daffodil	9958 Summit Trail	Roanoke	Virginia	24034
318	Oneflower Helianthella	9 Anzinger Crossing	Boston	Massachusetts	02109
319	Dotted Blazing Star	2 Maple Place	Midland	Michigan	48670
320	Longspur Lupine	64 Rowland Trail	Brooksville	Florida	34605
321	Roseling	1597 Loftsgordon Court	Philadelphia	Pennsylvania	19172
322	Closed Gentian	24402 Hazelcrest Center	Honolulu	Hawaii	96835
323	Purdy's Fringed Onion	283 Sugar Terrace	Los Angeles	California	90025
324	Pore Lichen	51568 Evergreen Drive	Albany	New York	12232
325	Thouinia	57869 Dixon Junction	Macon	Georgia	31205
326	Dwarf Muellerella Lichen	58 Pankratz Avenue	Jackson	Mississippi	39282
327	American Eelgrass	86 Boyd Street	Bronx	New York	10459
328	Keeled Bulrush	2 Portage Street	Las Vegas	Nevada	89140
329	Glass Mountain Rockdaisy	3 Oriole Crossing	Phoenix	Arizona	85062
330	Swamp Stonecrop	8994 Jackson Park	Baton Rouge	Louisiana	70815
331	Muskflower	3 Fulton Center	Anaheim	California	92812
332	Gulf Pipewort	6 Pankratz Road	Wichita	Kansas	67205
333	White Spikerush	3272 Hauk Junction	Tyler	Texas	75799
334	Manilkara	4 Lindbergh Place	Newark	Delaware	19725
335	Fragile Maidenhair	35 Linden Parkway	Santa Rosa	California	95405
336	Wild Indigo	811 Crescent Oaks Alley	Port Charlotte	Florida	33954
337	Narrowleaf Cattail	710 Waxwing Lane	Saint Petersburg	Florida	33731
338	Ceratodon Moss	7242 Messerschmidt Lane	Boulder	Colorado	80305
339	Spreading Fanpetals	143 Tennyson Trail	Norwalk	Connecticut	06854
340	Indian's Dream	8016 Straubel Terrace	Chicago	Illinois	60619
341	Myelochroa Lichen	6096 Helena Road	Dayton	Ohio	45432
342	'ena'ena	3039 Schiller Circle	Anchorage	Alaska	99517
343	Bigelow's Beggarticks	404 Dayton Court	Buffalo	New York	14263
344	Spurry Buckwheat	56552 Marquette Pass	Boston	Massachusetts	02298
345	Texas Bluebonnet	7040 Bonner Terrace	Los Angeles	California	90020
346	Baldwin's Flatsedge	625 Straubel Parkway	Riverside	California	92513
347	'ohi'a Lehua	8587 Forest Dale Plaza	Nashville	Tennessee	37205
348	Yate	365 Surrey Point	Sioux Falls	South Dakota	57198
349	Monoblastia Lichen	7770 Mitchell Street	Lehigh Acres	Florida	33972
350	Woollyheads	7 Anthes Point	Decatur	Georgia	30089
351	Kearney's Snakewood	76086 Kipling Plaza	Oakland	California	94611
352	Notable Wattle	57442 Hoard Court	Santa Cruz	California	95064
353	Smallhead Cat's Ear	75244 Tennyson Pass	Honolulu	Hawaii	96810
354	Steyermark's Milkwort	397 Sullivan Hill	Saint Louis	Missouri	63110
355	Beard Lichen	561 Fair Oaks Trail	Pittsburgh	Pennsylvania	15240
356	Baneberry	9 Scoville Plaza	Colorado Springs	Colorado	80995
357	Maroonspot Calicoflower	7 Knutson Road	Ridgely	Maryland	21684
358	Sourgrass	9170 Kropf Plaza	Allentown	Pennsylvania	18105
359	Oahu Pilo Kea	718 Pawling Point	Hartford	Connecticut	06152
360	Fineleaf Pondweed	32 Cody Junction	Phoenix	Arizona	85053
361	Resinous Maiden Fern	461 Larry Drive	Philadelphia	Pennsylvania	19146
362	Lewisia	88960 Meadow Valley Place	New York City	New York	10150
363	Single Delight	2187 Scott Place	Arlington	Virginia	22217
364	Spoonshape Barbara's Buttons	03 Redwing Point	Aurora	Colorado	80045
365	Roughhairy Maiden Fern	77 John Wall Drive	Cincinnati	Ohio	45271
366	Pyramid Moss	5388 Marquette Place	Cleveland	Ohio	44197
367	Burmann's Basketgrass	30 Petterle Avenue	Aurora	Colorado	80015
368	Candle Snuffer Moss	936 Pleasure Pass	Cleveland	Ohio	44177
369	Bud Saxifrage	305 Hollow Ridge Point	Oklahoma City	Oklahoma	73147
370	Parry's Wirelettuce	8621 Nova Hill	Washington	District of Columbia	20370
371	Slimjim Flatsedge	332 North Lane	Pensacola	Florida	32595
372	Flagstaff Ragwort	7 Gerald Park	Gainesville	Florida	32610
373	Prostrate Sandmat	8 Toban Street	Indianapolis	Indiana	46216
374	Stiffleaf Penstemon	429 Namekagon Circle	Pasadena	California	91103
375	Weissia Moss	9113 Eliot Drive	Saint Augustine	Florida	32092
376	Wart Lichen	825 Spenser Drive	Reno	Nevada	89595
377	Southern Bluethread	59 Mosinee Trail	Fresno	California	93778
378	Clustered Clover	68 Spenser Terrace	Charlotte	North Carolina	28299
379	Munj Sweetcane	89 Memorial Park	Las Vegas	Nevada	89115
380	Manyflower Marshpennywort	31 Graedel Alley	Evansville	Indiana	47732
381	Fetterbush Lyonia	18 Bay Parkway	Springfield	Illinois	62776
382	Crinklemat	0 La Follette Hill	Great Neck	New York	11024
